date,month,weekday,energy_kWh
2025-02-22,2,5,75682.24226666664
2025-02-23,2,6,121142.14093333337
2025-02-24,2,0,120628.98855000001
2025-02-25,2,1,121093.33288333344
2025-02-26,2,2,121060.73411666667
2025-02-27,2,3,120599.48893333328
2025-02-28,2,4,75385.10795000003
2025-03-01,3,5,72244.16014999998
2025-03-02,3,6,117860.41708333325
2025-03-03,3,0,117958.74559999994
2025-03-04,3,1,118139.0249833334
2025-03-05,3,2,118073.44383333332
2025-03-06,3,3,117673.59854999995
2025-03-07,3,4,71680.36144999997
2025-03-08,3,5,72344.71158333331
2025-03-09,3,6,117692.98650000006
2025-03-10,3,0,117943.06436666667
2025-03-11,3,1,117499.55295000004
2025-03-12,3,2,118112.2368333333
2025-03-13,3,3,118237.27704999998
2025-03-14,3,4,72108.86894999997
2025-03-15,3,5,72724.98178333332
2025-03-16,3,6,117983.21598333337
2025-03-17,3,0,117693.62179999994
2025-03-18,3,1,117253.42358333338
2025-03-19,3,2,117281.55799999999
2025-03-20,3,3,117648.3817333333
2025-03-21,3,4,72593.53221666667
2025-03-22,3,5,71936.9295333333
2025-03-23,3,6,117739.97726666661
2025-03-24,3,0,117425.17061666667
2025-03-25,3,1,118053.16781666668
2025-03-26,3,2,117704.62780000002
2025-03-27,3,3,117952.59836666672
2025-03-28,3,4,71891.76726666666
2025-03-29,3,5,72118.27746666668
2025-03-30,3,6,117994.70584999997
2025-03-31,3,0,117075.6656166666
2025-04-01,4,1,117967.14630000005
2025-04-02,4,2,117986.62945000002
2025-04-03,4,3,117884.45609999997
2025-04-04,4,4,71735.75181666663
2025-04-05,4,5,72602.7425666667
2025-04-06,4,6,117205.43058333332
2025-04-07,4,0,117015.14203333338
2025-04-08,4,1,117713.29026666668
2025-04-09,4,2,117677.5225333334
2025-04-10,4,3,117668.70068333333
2025-04-11,4,4,72091.99675
2025-04-12,4,5,71957.17576666665
2025-04-13,4,6,117283.06220000006
2025-04-14,4,0,117901.37268333329
2025-04-15,4,1,117056.90516666672
2025-04-16,4,2,117924.88506666673
2025-04-17,4,3,117487.04263333327
2025-04-18,4,4,71490.16934999998
2025-04-19,4,5,71905.41535000002
2025-04-20,4,6,117197.81634999998
2025-04-21,4,0,118481.63788333337
2025-04-22,4,1,117811.00101666666
2025-04-23,4,2,118030.51476666663
2025-04-24,4,3,117497.77966666673
2025-04-25,4,4,71763.32120000002
2025-04-26,4,5,72100.92436666669
2025-04-27,4,6,117032.52253333345
2025-04-28,4,0,117537.30080000008
2025-04-29,4,1,117252.7587166666
2025-04-30,4,2,117682.88071666665
2025-05-01,5,3,120364.58391666668
2025-05-02,5,4,74761.02673333332
2025-05-03,5,5,74894.84928333331
2025-05-04,5,6,120670.08423333331
2025-05-05,5,0,120612.16386666667
2025-05-06,5,1,121017.1901
2025-05-07,5,2,121160.21501666668
2025-05-08,5,3,120445.47738333333
2025-05-09,5,4,74253.82544999997
2025-05-10,5,5,74647.98704999998
2025-05-11,5,6,120743.09041666666
2025-05-12,5,0,120448.60361666675
2025-05-13,5,1,120269.6316
2025-05-14,5,2,120592.00526666665
2025-05-15,5,3,119598.30981666672
2025-05-16,5,4,74681.34475
2025-05-17,5,5,75274.5304333333
2025-05-18,5,6,120687.03699999998
2025-05-19,5,0,120072.38798333332
2025-05-20,5,1,120437.57771666664
2025-05-21,5,2,120283.05128333336
2025-05-22,5,3,119729.68001666667
2025-05-23,5,4,74983.3843833333
2025-05-24,5,5,74693.81781666665
2025-05-25,5,6,120319.8776
2025-05-26,5,0,119407.96936666666
2025-05-27,5,1,120046.82735000005
2025-05-28,5,2,119921.84721666668
2025-05-29,5,3,120439.31426666665
2025-05-30,5,4,74612.22448333332
2025-05-31,5,5,74778.3325833333
2025-06-01,6,6,128248.56003333337
2025-06-02,6,0,128080.53698333337
2025-06-03,6,1,128076.84056666671
2025-06-04,6,2,128539.84358333325
2025-06-05,6,3,128455.92066666667
2025-06-06,6,4,82747.41500000004
2025-06-07,6,5,83156.75974999997
2025-06-08,6,6,128266.94665
2025-06-09,6,0,128169.18798333334
2025-06-10,6,1,127414.4917833333
2025-06-11,6,2,128236.6773166667
2025-06-12,6,3,127721.81298333332
2025-06-13,6,4,81889.59039999999
2025-06-14,6,5,82253.15711666667
2025-06-15,6,6,127368.88451666664
2025-06-16,6,0,127618.6320166667
2025-06-17,6,1,127311.75460000006
2025-06-18,6,2,126909.07891666662
2025-06-19,6,3,127349.06689999999
2025-06-20,6,4,81137.07971666665
2025-06-21,6,5,81408.0648
2025-06-22,6,6,126539.46191666667
2025-06-23,6,0,126690.87308333332
2025-06-24,6,1,127112.84501666676
2025-06-25,6,2,126310.4084333333
2025-06-26,6,3,126697.44536666667
2025-06-27,6,4,79563.255
2025-06-28,6,5,80661.5728
2025-06-29,6,6,126384.80871666671
2025-06-30,6,0,125947.32058333329
2025-07-01,7,1,141546.85106666668
2025-07-02,7,2,141198.65821666666
2025-07-03,7,3,141565.5386333333
2025-07-04,7,4,95795.06575000004
2025-07-05,7,5,95872.83490000002
2025-07-06,7,6,141244.57465000002
2025-07-07,7,0,141495.39415000004
2025-07-08,7,1,141285.227
2025-07-09,7,2,140590.7049666667
2025-07-10,7,3,140463.54225
2025-07-11,7,4,94741.08840000007
2025-07-12,7,5,95318.3711
2025-07-13,7,6,139893.36648333335
2025-07-14,7,0,141062.42346666672
2025-07-15,7,1,139545.1626666667
2025-07-16,7,2,140365.2653833333
2025-07-17,7,3,139569.15928333334
2025-07-18,7,4,93698.07320000004
2025-07-19,7,5,94564.52240000003
2025-07-20,7,6,138750.53876666666
2025-07-21,7,0,138442.81980000006
2025-07-22,7,1,139514.8588166667
2025-07-23,7,2,139450.03365
2025-07-24,7,3,138902.2175166666
2025-07-25,7,4,92354.83968333325
2025-07-26,7,5,93187.68993333331
2025-07-27,7,6,138110.19628333327
2025-07-28,7,0,138228.99843333327
2025-07-29,7,1,138314.74511666666
2025-07-30,7,2,138424.3644333334
2025-07-31,7,3,137423.31371666663
2025-08-01,8,4,92719.42410000006
2025-08-02,8,5,91562.24421666667
2025-08-03,8,6,138062.48615
2025-08-04,8,0,138312.10695000004
2025-08-05,8,1,136458.4972833334
2025-08-06,8,2,136716.08779999998
2025-08-07,8,3,136850.75446666667
2025-08-08,8,4,90703.21611666665
2025-08-09,8,5,90303.83175000001
2025-08-10,8,6,136535.44471666665
2025-08-11,8,0,136422.2635166667
2025-08-12,8,1,136637.59670000002
2025-08-13,8,2,136547.99718333333
2025-08-14,8,3,135936.0553666667
2025-08-15,8,4,89968.05776666664
2025-08-16,8,5,90183.53035000002
2025-08-17,8,6,135369.1165
2025-08-18,8,0,135710.17471666663
2025-08-19,8,1,135364.4828833333
2025-08-20,8,2,135048.05366666662
2025-08-21,8,3,134971.79890000005
2025-08-22,8,4,90531.73040000001
2025-08-23,8,5,89697.14623333335
2025-08-24,8,6,135068.07139999996
2025-08-25,8,0,134511.61375000005
2025-08-26,8,1,134368.9639333333
2025-08-27,8,2,133788.38209999993
2025-08-28,8,3,134543.81656666673
2025-08-29,8,4,88328.33255000002
2025-08-30,8,5,89025.08758333331
2025-08-31,8,6,133365.35983333338
2025-09-01,9,0,121263.61926666666
2025-09-02,9,1,121532.82414999997
2025-09-03,9,2,121433.71643333326
2025-09-04,9,3,121061.17303333328
2025-09-05,9,4,75132.98044999997
2025-09-06,9,5,75826.37416666665
2025-09-07,9,6,120781.00903333325
2025-09-08,9,0,121400.5924333334
2025-09-09,9,1,121082.23558333331
2025-09-10,9,2,121274.78848333328
2025-09-11,9,3,120746.77835
2025-09-12,9,4,75687.22711666666
2025-09-13,9,5,75063.58311666665
2025-09-14,9,6,121237.69566666667
2025-09-15,9,0,120760.02988333326
2025-09-16,9,1,121843.35746666667
2025-09-17,9,2,120924.79499999995
2025-09-18,9,3,120804.11636666665
2025-09-19,9,4,75287.12646666667
2025-09-20,9,5,75330.72763333333
2025-09-21,9,6,120862.28298333331
2025-09-22,9,0,121218.04173333332
2025-09-23,9,1,121182.28133333326
2025-09-24,9,2,121014.19341666668
2025-09-25,9,3,120546.34714999993
2025-09-26,9,4,74194.35371666664
2025-09-27,9,5,75945.77174999999
2025-09-28,9,6,120389.61958333335
2025-09-29,9,0,121111.41479999998
2025-09-30,9,1,120916.4550666667
2025-10-01,10,2,117218.45471666669
2025-10-02,10,3,117231.70978333335
2025-10-03,10,4,71524.19113333334
2025-10-04,10,5,72397.41483333334
2025-10-05,10,6,117604.4209
2025-10-06,10,0,117896.13613333328
2025-10-07,10,1,117357.17863333333
2025-10-08,10,2,117391.06235000002
2025-10-09,10,3,117432.98973333335
2025-10-10,10,4,72371.53011666663
2025-10-11,10,5,71790.96475000001
2025-10-12,10,6,117709.38418333343
2025-10-13,10,0,117677.75383333328
2025-10-14,10,1,118032.22918333329
2025-10-15,10,2,117342.48076666665
2025-10-16,10,3,117733.27633333342
2025-10-17,10,4,71943.17253333332
2025-10-18,10,5,71656.70145
2025-10-19,10,6,117991.24738333335
2025-10-20,10,0,117903.31864999999
2025-10-21,10,1,117800.84898333333
2025-10-22,10,2,117671.98653333331
2025-10-23,10,3,117212.01551666671
2025-10-24,10,4,72135.51853333335
2025-10-25,10,5,72042.78699999995
2025-10-26,10,6,117422.34435000003
2025-10-27,10,0,117790.56431666669
2025-10-28,10,1,117514.14479999998
2025-10-29,10,2,117721.61451666668
2025-10-30,10,3,116916.07056666672
2025-10-31,10,4,71748.98903333333
2025-11-01,11,5,71974.20948333331
2025-11-02,11,6,117843.23631666668
2025-11-03,11,0,117808.91503333341
2025-11-04,11,1,117396.61073333335
2025-11-05,11,2,117764.40761666655
2025-11-06,11,3,117713.09413333333
2025-11-07,11,4,72212.37866666669
2025-11-08,11,5,72034.86681666662
2025-11-09,11,6,117877.67016666665
2025-11-10,11,0,118420.10276666663
2025-11-11,11,1,117957.86745000003
2025-11-12,11,2,117416.7138333333
2025-11-13,11,3,117780.10726666672
2025-11-14,11,4,71737.89309999996
2025-11-15,11,5,72466.97681666669
2025-11-16,11,6,118360.27023333334
2025-11-17,11,0,117269.71064999994
2025-11-18,11,1,117783.68650000001
2025-11-19,11,2,118179.70134999999
2025-11-20,11,3,117846.45723333329
2025-11-21,11,4,71999.1771
2025-11-22,11,5,72549.91013333331
2025-11-23,11,6,117782.69220000006
2025-11-24,11,0,117975.68781666661
2025-11-25,11,1,117682.39221666663
2025-11-26,11,2,117686.43673333329
2025-11-27,11,3,117198.14164999998
2025-11-28,11,4,72239.02128333334
2025-11-29,11,5,72156.19988333338
2025-11-30,11,6,118008.83443333334
2025-12-01,12,0,125291.39163333332
2025-12-02,12,1,125400.62360000002
2025-12-03,12,2,124622.93113333336
2025-12-04,12,3,125336.25095000003
2025-12-05,12,4,78868.07108333331
2025-12-06,12,5,79470.82115
2025-12-07,12,6,125067.46291666664
2025-12-08,12,0,124410.35393333336
2025-12-09,12,1,124694.68108333336
2025-12-10,12,2,124378.7645166666
2025-12-11,12,3,123787.79896666668
2025-12-12,12,4,78661.70368333333
2025-12-13,12,5,78840.15755000003
2025-12-14,12,6,124522.58584999999
2025-12-15,12,0,124305.22548333328
2025-12-16,12,1,124646.94338333339
2025-12-17,12,2,124466.5546500001
2025-12-18,12,3,124315.35926666664
2025-12-19,12,4,78593.32543333332
2025-12-20,12,5,78668.52011666665
2025-12-21,12,6,124376.44096666665
2025-12-22,12,0,124718.45381666668
2025-12-23,12,1,123956.65456666664
2025-12-24,12,2,123954.37128333331
2025-12-25,12,3,123789.85789999994
2025-12-26,12,4,78270.30764999999
2025-12-27,12,5,78409.18393333338
2025-12-28,12,6,123511.26975000006
2025-12-29,12,0,123677.30638333336
2025-12-30,12,1,123526.5090499999
2025-12-31,12,2,123791.70508333333
